GroundTruth_Tri_Label	||Prediction_Tri_Label	||Trigger	||GroundTruth_Ant_Label	||Prediction_Ant_Lable	||Antecedent	||Test_Instance
1	||1	||'re	||1	||1	||innocuous changes 	||Those sound like innocuous changes , but they 're not . Both the Treasury and Congress traditionally have pushed for easy money , the Treasury to reduce its debt management problems and Congress to satisfy powerful producer constituencies who want a weak dollar for short-term competitive gains in world markets . Congressional pressures on the Fed similar to those that produced the savings and loan mess are an awful thought .
1	||1	||does	||0	||0	||does Mr. Friend and his law partner , Nick Nichols	||It turns out Mr. Friend 's client , Machelle Parks of Cincinnati , did n't like the way defense attorney Tom Alexander acted during the legal proceedings . So she has agreed to forgo monetary damages against Mr. Alexander 's client in return for the right to punch the attorney . Ms. Parks 's mother also gets to cuff Mr. Alexander . So does Mr. Friend and his law partner , Nick Nichols .
1	||1	||do	||0	||1	||is expected to do the same in the consumer price report	||A rebound in energy prices , which helped push up the producer price index , is expected to do the same in the consumer price report . The consensus view expects a 0.4 % increase in the September CPI after a flat reading in August .
1	||1	||did	||0	||0	||said it would fully support the resistance -- and did n't	||But there never was a chance that the Afghan resistance would overthrow the Kabul regime quickly and easily . Soviet leaders said they would support their Kabul clients by all means necessary -- and did . The U.S. said it would fully support the resistance -- and did n't .
1	||1	||could	||0	||0	||seeking safety in bigger companies	||In the wake of Friday 's plunge and yesterday 's rebound , some companies are already postponing deals , and others wish they could . As in other jittery times , many small businesses expect a particularly rough time raising funds as investors shun risky deals , seeking safety in bigger companies .
1	||1	||were	||0	||0	||want to do	||But now , the magazine is attempting to fight back , with an ambitious plan including a revamped sales strategy and a surprisingly aggressive ad campaign . Advertisers do n't think of the magazine first , says Joan McCraw , who joined in April as national advertising director . `` What we want to do is take a more aggressive stance . People did n't believe we were in tune with the marketplace , and in many ways we were n't . ''
1	||1	||can	||1	||1	||get 	||Still , such a pricing strategy just might appeal to people like Connie Bates , a respondent in the Journal survey . She recently walked out of a furniture store because the salesman offered to cut the price of a sectional couch three times . When a store keeps dropping prices , the Farmington , Mich. , resident says , `` I get suspicious that they 're trying to get the most they can out of you . ''
0	||1	||are	||0	||1	||reduce its debt management problems	||Those sound like innocuous changes , but they 're not . Both the Treasury and Congress traditionally have pushed for easy money , the Treasury to reduce its debt management problems and Congress to satisfy powerful producer constituencies who want a weak dollar for short-term competitive gains in world markets . Congressional pressures on the Fed similar to those that produced the savings and loan mess are an awful thought .
1	||1	||did	||0	||1	||applied price and wage controls in August 1971 , thereby discouraging production	||These two myths have caused the republic untold damage . The U.S. economy took on an inflationary bias when the Fed was forced to finance an incredible spending spree by Lyndon Johnson . Richard Nixon exacerbated the problem when , in response to pressures from Congress , he applied price and wage controls in August 1971 , thereby discouraging production . Jimmy Carter ultimately hired Mr. Volcker to kill inflation , which was reaching dangerous levels . He did , too late to save Mr. Carter from forced retirement .
1	||1	||are	||0	||1	||IS MAKING a comeback	||IOWA IS MAKING a comeback . So are Indiana , Ohio and Michigan . The population of all four states is on the upswing , according to new Census Bureau estimates , following declines throughout the early 1980s .
1	||1	||does	||1	||1	||likes it 	||Currently in the middle of a four-week , 20-city tour as a solo pianist , Mr. Glass has left behind his synthesizers , equipment and collaborators in favor of going it alone . He sits down at the piano and plays . And plays . Either one likes it or one does n't . The typical Glass audience , which is more likely to be composed of music students than their teachers , certainly does .
0	||1	||are	||0	||1	||derive 22 % of its revenue from the U.S.	||But now , with Bull in firm control , these U.S. operations are key ingredients in Mr. Lorentz 's plans to ensure that Bull remains one of the half-dozen or so world-wide , full-range computer companies likely to survive the 1990s . To do so , Bull is planting itself firmly in the U.S. , where , says Mr. Lorentz , a lot of the best people and research are . The Zenith buy means Bull will derive 22 % of its revenue from the U.S. -- up from 18 % previously -- and the company spends 30 % of its 3.64 billion-franc research and development budget in the U.S .
0	||1	||are	||1	||0	||remains one of the half-dozen or so world-wide , full-range computer companies likely to survive the 1990s 	||But now , with Bull in firm control , these U.S. operations are key ingredients in Mr. Lorentz 's plans to ensure that Bull remains one of the half-dozen or so world-wide , full-range computer companies likely to survive the 1990s . To do so , Bull is planting itself firmly in the U.S. , where , says Mr. Lorentz , a lot of the best people and research are . The Zenith buy means Bull will derive 22 % of its revenue from the U.S. -- up from 18 % previously -- and the company spends 30 % of its 3.64 billion-franc research and development budget in the U.S .
1	||1	||can	||0	||0	||get suspicious that they 're trying to get the most they can out of you	||Still , such a pricing strategy just might appeal to people like Connie Bates , a respondent in the Journal survey . She recently walked out of a furniture store because the salesman offered to cut the price of a sectional couch three times . When a store keeps dropping prices , the Farmington , Mich. , resident says , `` I get suspicious that they 're trying to get the most they can out of you . ''
1	||1	||do	||0	||1	||catch up on dividends in arrears about $ 6 million	||The energy-services concern said , however , that in January 1990 , it may resume payments of dividends on the preferred stock . Weatherford suspended its preferred-dividend payment in October 1985 and said it has n't any plans to catch up on dividends in arrears about $ 6 million , but will do so some time in the future .
1	||1	||does	||1	||1	||cuff Mr. Alexander 	||It turns out Mr. Friend 's client , Machelle Parks of Cincinnati , did n't like the way defense attorney Tom Alexander acted during the legal proceedings . So she has agreed to forgo monetary damages against Mr. Alexander 's client in return for the right to punch the attorney . Ms. Parks 's mother also gets to cuff Mr. Alexander . So does Mr. Friend and his law partner , Nick Nichols .
1	||1	||does	||1	||1	||succeed 	||William O'Donnell , president , says he still thinks the IPO will succeed . If it does n't , he says , the company would have to change its expansion timetable .
1	||1	||do	||1	||1	||have the power to execute 	||Mr. Sim figures it will be easier to turn Barry Wright around since he 's now in the driver 's seat . When he came to Applied , `` I did n't have the power to execute as I do today , '' he says . He was named chief executive officer of Applied in 1986 and became chairman last November .
1	||1	||do	||0	||1	||sell shares gradually during rallies	||Even for people who expect a bear market in coming months -- and a sizable number of money managers and market pundits do -- the advice is : Wait for the market to bounce back , and sell shares gradually during rallies . The best thing individual investors can do is `` just sit tight , '' says Marshall B. Front , executive vice president and head of investment counseling at Stein Roe & Farnham Inc. , a Chicago-based investment counseling firm that manages about $ 18 billion .
1	||1	||can	||1	||1	||get slightly higher yields 	||Yields on small-denomination certificates of deposit fell at about half the rate of so-called jumbo CDs this week , according to Banxquote Money Markets , an information service based here . Investors can get slightly higher yields on deposits below $ 50,000 than they can on deposits of $ 90,000 and up .
1	||1	||does	||1	||1	||pay up 	||Collectors do n't say `` It 's a van Gogh '' anymore , laments Harry Brooks , the president of Wildenstein & Co. , a New York gallery . `` They say , ` Johnny Payson got $ 53 million for his , so certainly $ 10 million is n't too much for mine . ' The great collectors we depended on , such as Paul Mellon or Norton Simon , have stopped buying , and the new buyers are brilliant men who made money in the stock market or in takeovers and rushed into collecting ... . '' Mr. Payson , an art dealer and collector , sold Vincent van Gogh 's `` Irises '' at a Sotheby 's auction in November 1987 to Australian businessman Alan Bond . ( Trouble is , Mr. Bond has yet to pay up , and until he does , Sotheby 's has the painting under lock and key . )
1	||1	||do	||0	||0	||to think of my daughter 's future	||What keeps Mr. Li in Panzhihua ? Partly the system . While workers ca n't easily be fired , they also ca n't easily quit to find jobs elsewhere . The Li family could apply for permission to do so , but has n't tried . `` I expect I 'll be in Panzhihua for the rest of my life , '' Mr. Li says . `` The No. 1 high school is pretty good , and I have to think of my daughter 's future . ''
1	||1	||would	||0	||1	||distinguish between the substance of his comments and the fact that he used insulting language . In addition	||If Mr. Mason had used less derogatory language to articulate his amateur analysis of the voting behavior of his fellow New Yorkers , would the water be quite so hot ? It probably would , because few or none of the people upset by Mr. Mason 's remarks have bothered to distinguish between the substance of his comments and the fact that he used insulting language . In addition , some of Mr. Mason 's critics have implied that his type of ethnic humor is itself a form of racism .
0	||1	||do	||1	||1	||in tune with the marketplace 	||But now , the magazine is attempting to fight back , with an ambitious plan including a revamped sales strategy and a surprisingly aggressive ad campaign . Advertisers do n't think of the magazine first , says Joan McCraw , who joined in April as national advertising director . `` What we want to do is take a more aggressive stance . People did n't believe we were in tune with the marketplace , and in many ways we were n't . ''
1	||1	||does	||0	||1	||mostly red	||Sony found a new market niche , but Mr. Kaye figured that its prices left plenty of room for a lower-priced competitor . His products are n't exact copies of Sony 's but strongly resemble them in size , shape and , especially , color . Sony uses mostly red and blue , with traces of yellow -- and so does Justin , on the theory that kids prefer these colors . ( `` To be successful , a product can be any color whatsoever , as long as it is fire-engine red , '' says Charles E. Baxley , Justin 's attorney . )
1	||1	||did	||0	||1	||did so falsely	||Some American officers interpreted his eagerness and studiousness as a sign of loyalty , but they did so falsely . He rose to chief of intelligence in Panama 's socalled G-2 in 1970 after providing populist dictator Torrijos the critical support to defeat a coup attempt against him a year earlier . He became Gen. Torrijos 's inseparable shadow , and the holder of all Panama 's secrets . Mr. Noriega , by now a lieutenant colonel , expanded his contacts to include the Cubans -- not to mention the Israelis , the Taiwanese and any other intelligence service that came knocking . When U.S. diplomats complained to the CIA of Col. Noriega 's moonlighting , intelligence experts always insisted that his allegiance was first to the Americans .
1	||1	||is	||1	||1	||the problem 	||That 's the problem , is n't it ? '' Indeed it is .
1	||1	||do	||1	||1	||offers rents of about $ 100 a square foot 	||Certainly , the recent drop in prices does n't mean Manhattan comes cheap . New York retail rents still run well above the going rate in other U.S. cities . Madison and Fifth Avenues and East 57th Street can command rents of up to $ 500 a square foot , and $ 250 is not uncommon . The thriving 34th Street area offers rents of about $ 100 a square foot , as do up-and-coming locations along lower Fifth Avenue . By contrast , rentals in the best retail locations in Boston , San Francisco and Chicago rarely top $ 100 a square foot . And rents on Beverly Hills ' Rodeo Drive generally do n't exceed about $ 125 a square foot .
1	||1	||did	||1	||1	||make capital available to dealers if needed 	||Authorities , including the Bank of England and the Securities Association , are gearing up in case a crisis wallops the London market . The bank was in touch with other major central banks over the weekend and was preparing to make capital available to dealers if needed , as it did in the 1987 crash , according to people familiar with the bank 's strategy .
1	||1	||was	||1	||0	||as expected 	||The LME stocks decline was about as expected , but the Comex gain was n't .
1	||1	||did	||0	||0	||is up 24 % this year , so investors who bailed out generally did so profitably	||`` Singapore took the hit because when people want to get out , they tend to go where the liquidity is , '' said Elizabeth Hambrecht , a regional analyst with Baring Securities ( Hong Kong ) Ltd . She pointed out that even after Monday 's 10 % decline , the Straits Times index is up 24 % this year , so investors who bailed out generally did so profitably . Similarly , Kuala Lumpur 's composite index yesterday ended 27.5 % above its 1988 close .
1	||1	||did	||0	||0	||be seen whether their ads will be any more effective	||In any case , the brokerage firms are clearly moving faster to create new ads than they did in the fall of 1987 . But it remains to be seen whether their ads will be any more effective . In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse . Now the firms must try their hardest to prove that advertising can work this time around .
1	||1	||do	||0	||1	||have wished me to carry on just now	||You see , I know my father would have wished me to carry on just now . '' It is this kind of dignity and restraint that allows Stevens to declare : `` For all its sad associations , whenever I recall that evening today , I find I do so with a large sense of triumph . '' We note the imperial public word used to deny private rage and sorrow . That Stevens himself is not grotesque or repellent , but funny and sad and enlightening , is entirely the author 's triumph .
1	||1	||do	||0	||1	||experiencing softening margins because of increased sales of software applications , which have lower margins than do operating systems	||The company had been experiencing softening margins because of increased sales of software applications , which have lower margins than do operating systems . But the company said that trend was offset in the first quarter by better economies of scale and efficiencies in manufacturing .
1	||1	||can	||0	||0	||demonstrated that you can	||`` The conventional wisdom used to be that you could n't modify the immune response of an infected individual '' by innoculating them with synthetic viral proteins , Dr. Redfield said . `` We 've demonstrated that you can . ''
1	||1	||does	||1	||1	||yield on these matters , and eventually begin talking directly to the ANC 	||As the days go by , the South African government will be ever more hard pressed to justify the continued imprisonment of Mr. Mandela as well as the continued banning of the ANC and enforcement of the state of emergency . If it does n't yield on these matters , and eventually begin talking directly to the ANC , the expectations and promise raised by yesterday 's releases will turn to disillusionment and unrest . If it does , the large number of right-wing whites , who oppose any concessions to the black majority , will step up their agitation and threats to take matters into their own hands .
1	||1	||do	||0	||0	||do n't	||Now , dozens of corporations , including Ethan Allen , TW Services and York International , that are counting on at least $ 7 billion of scheduled new junk financings to keep their highly leveraged takeovers and buy-outs afloat , may never get the money . `` The music has stopped playing , '' says Michael Harkins , a principal in the investment firm of Levy Harkins . `` You 've either got a chair or you do n't . ''
1	||1	||did	||1	||1	||fleeing the market 	||Hard on the heels of Friday 's 190-point stock-market plunge and the uncertainty that 's followed , a few big brokerage firms are rolling out new ads trumpeting a familiar message : Keep on investing , the market 's just fine . Their mission is to keep clients from fleeing the market , as individual investors did in droves after the crash in October
1	||1	||did	||1	||1	||died 	||The magazine had its best year yet in 1988 , when it celebrated its centennial and racked up a 17 % gain in ad pages , to 283 . But this year , when the hullabaloo surrounding its centennial died , so too did some advertiser interest . The reason , ad executives say , is that the entire magazine business has been soft -- and National Geographic has some quirks that make it especially unattractive during a soft market .
1	||1	||will	||0	||0	||was high before Friday	||Surveys suggested that consumer confidence was high before Friday . A 190-point drop is n't likely to make much of a dent ; multiply that a few times over , though , and it will . If the reactions of executives gathered Saturday at Hot Springs , Va. , for the Business Council meetings are typical , business leaders were n't overly rattled by Friday 's decline . And if foreign investors become a tad more cautious -- well , the dollar 's recent strength suggests that the U.S. can stand it .
1	||1	||did	||0	||1	||have n't dropped as sharply as they did two years ago	||The past two trading days , while painful , have n't been as disastrous for the arbs as the October 1987 market crash because takeover-related stocks have n't dropped as sharply as they did two years ago , and traders are n't as deeply in debt as they were then .
1	||1	||do	||0	||0	||said that trend was offset in the first quarter by better economies of scale and efficiencies in manufacturing	||The company had been experiencing softening margins because of increased sales of software applications , which have lower margins than do operating systems . But the company said that trend was offset in the first quarter by better economies of scale and efficiencies in manufacturing .
1	||1	||do	||0	||1	||do	||Another sticking point for advertisers was National Geographic 's tradition of lumping its ads together , usually at the beginning or end of the magazine , rather than spreading ads out among its articles , as most magazines do . And National Geographic 's smaller-than-average size means extra production costs for advertisers .
1	||1	||did	||1	||1	||grew 	||As Mr. Noriega 's political troubles grew , so did his offers of assistance to the Contras , an apparent attempt to curry more favor in Washington . For instance , he helped steal the May 1984 Panamanian elections for the ruling party . But just one month later , he also contributed $ 100,000 to a Contra leader , according to documents released for Oliver North 's criminal trial in Washington , D.C .
1	||1	||were	||1	||1	||averaged 	||While oil prices have been better than expected , natural gas prices have been worse . In the third quarter , they averaged about 5 % less than they were in 1988 . The main reason remains weather . Last summer was notable for a heat wave and drought that caused utilities to burn more natural gas to feed increased electrical demand from air conditioning use . This summer , on the other hand , had milder weather than usual .
1	||1	||does	||0	||0	||has left behind his synthesizers , equipment and collaborators in favor of going it alone	||Currently in the middle of a four-week , 20-city tour as a solo pianist , Mr. Glass has left behind his synthesizers , equipment and collaborators in favor of going it alone . He sits down at the piano and plays . And plays . Either one likes it or one does n't . The typical Glass audience , which is more likely to be composed of music students than their teachers , certainly does .
1	||1	||did	||1	||1	||dump U.S. stocks and return to the safety of their home markets 	||If foreigners dump U.S. stocks and return to the safety of their home markets -- as they did in October 1987 -- they must simultaneously also sell dollars for their own currencies . Those transactions , in turn , could weaken the dollar . Even if foreigners just withhold from buying additional U.S. securities , they reduce the demand for dollars .
1	||1	||did	||1	||1	||supported the rights of the witnesses to take the Fifth Amendment 	||2 . That Mr. Lantos supported the rights of the witnesses to take the Fifth Amendment . Yes , he did .
1	||1	||are	||0	||0	||estimate that more than 10 % of the work force here is redundant	||Despite a decade-long attempt to revamp the socialist economy , China 's mega-welfare state is alive and well . Health care is free , housing costs just pennies and food is heavily subsidized . At Panzhihua , as in other big state-run factories , workers still can count on a cradle-to-grave safety net . Factory officials estimate that more than 10 % of the work force here is redundant , but layoffs are n't allowed . Even factory workers ' children are guaranteed jobs . The industrial monoliths are so deeply involved in the welfare system that China 's leaders may never be able to modernize them , despite their glaring economic inefficiency . Though the Panzhihua factory itself is profitable , many such enterprises are n't . Subsidies for money-losing enterprises totaled $ 18 billion last year , or about one-third the total state revenue .
0	||1	||do	||0	||0	||says that Mr. Alexander will be asked to sign a release from liability , just in case	||Mr. Alexander says he regards the agreement , which has n't been submitted to a judge , as something of a joke . However , he acknowledges they `` have the option of taking a swat at me if they really want to . '' Mr. Friend says his side is `` dead serious . '' Although they do n't contemplate delivering any disabling blows , he says that Mr. Alexander will be asked to sign a release from liability , just in case .
1	||1	||did	||0	||0	||especially unattractive during a soft market	||The magazine had its best year yet in 1988 , when it celebrated its centennial and racked up a 17 % gain in ad pages , to 283 . But this year , when the hullabaloo surrounding its centennial died , so too did some advertiser interest . The reason , ad executives say , is that the entire magazine business has been soft -- and National Geographic has some quirks that make it especially unattractive during a soft market .
1	||1	||do	||0	||1	||'ll be in Panzhihua for the rest of my life	||What keeps Mr. Li in Panzhihua ? Partly the system . While workers ca n't easily be fired , they also ca n't easily quit to find jobs elsewhere . The Li family could apply for permission to do so , but has n't tried . `` I expect I 'll be in Panzhihua for the rest of my life , '' Mr. Li says . `` The No. 1 high school is pretty good , and I have to think of my daughter 's future . ''
1	||1	||could	||1	||0	||produce 	||Mr. Smith said GM is looking for ways to save some of the five older plants targeted last week . `` I 'm hoping we 'll need another plant for the APV , '' a new plastic-bodied minivan now being assembled at a single plant in Tarrytown , N.Y. , he said . However , Mr. Smith said that as a result of a $ 70 billion factory-modernization program undertaken over the last decade , `` we can produce more in the new plants than we could in the old plants . ''
1	||1	||were	||1	||1	||in tune with the marketplace 	||But now , the magazine is attempting to fight back , with an ambitious plan including a revamped sales strategy and a surprisingly aggressive ad campaign . Advertisers do n't think of the magazine first , says Joan McCraw , who joined in April as national advertising director . `` What we want to do is take a more aggressive stance . People did n't believe we were in tune with the marketplace , and in many ways we were n't . ''
1	||1	||did	||0	||0	||did n't have to inject massive amounts of money into the banking system , as it did in October 1987	||The Fed allowed the key federal funds interest rate to dip to about 8 5\8 % from its levels of just below 9 % last week . That was a sign to financial markets that , at least for now , the Fed was easing its grip on credit . Because the markets remained relatively calm , however , the Fed did n't have to inject massive amounts of money into the banking system , as it did in October 1987 .
1	||1	||did	||0	||0	||have caused the republic untold damage	||These two myths have caused the republic untold damage . The U.S. economy took on an inflationary bias when the Fed was forced to finance an incredible spending spree by Lyndon Johnson . Richard Nixon exacerbated the problem when , in response to pressures from Congress , he applied price and wage controls in August 1971 , thereby discouraging production . Jimmy Carter ultimately hired Mr. Volcker to kill inflation , which was reaching dangerous levels . He did , too late to save Mr. Carter from forced retirement .
0	||1	||are	||0	||1	||want a weak dollar for short-term competitive gains in world markets	||Those sound like innocuous changes , but they 're not . Both the Treasury and Congress traditionally have pushed for easy money , the Treasury to reduce its debt management problems and Congress to satisfy powerful producer constituencies who want a weak dollar for short-term competitive gains in world markets . Congressional pressures on the Fed similar to those that produced the savings and loan mess are an awful thought .
0	||1	||be	||0	||1	||pick up	||Recent order rates indicate that the fourth quarter , a time shipments usually pick up , will be weak as well . Merrill Lynch 's Mr. Bradford said , `` We have n't seen the pickup in flat rolled orders that we should have . '' Flat rolled steel is the industry 's major product .
1	||1	||does	||0	||1	||sits down at the piano	||Currently in the middle of a four-week , 20-city tour as a solo pianist , Mr. Glass has left behind his synthesizers , equipment and collaborators in favor of going it alone . He sits down at the piano and plays . And plays . Either one likes it or one does n't . The typical Glass audience , which is more likely to be composed of music students than their teachers , certainly does .
1	||1	||do	||1	||1	||have lower margins 	||The company had been experiencing softening margins because of increased sales of software applications , which have lower margins than do operating systems . But the company said that trend was offset in the first quarter by better economies of scale and efficiencies in manufacturing .
1	||1	||had	||1	||1	||expect 	||`` I do not regard the amount of the decline on Friday as unexpected or unlikely , '' he said in a telephone interview . `` With the market being up to 2,700 or 2,800 and the existence of derivative products ... one can expect volatility of the magnitude we had . ''
1	||1	||is	||1	||1	||the ultimate insult 	||The only thing Robert Goldberg could praise about CBS 's new show `` Island Son '' ( Leisure & Arts , Sept. 25 ) was the local color ; unfortunately neither he nor the producers of the show have done their homework . For instance : `` Haole '' ( white ) is not the ultimate insult ; `` Mainland haole '' is . Richard Chamberlain dresses as a `` Mainland haole , '' tucking in a Hawaiian shirt and rolling up its long sleeves . And the local expression for brother is `` brah , '' not `` bruddah . '' And even if a nurse would wear flowers in her hair while on duty , if she were engaged she would know to wear them behind her left , not right , ear . Sorry , the show does not even have the one redeeming quality of genuine local color .
1	||1	||do	||1	||1	||carry the virus 	||`` By encouraging massive , routine , voluntary testing we can enable society to voluntarily segregate itself sexually into two groups : those who carry the virus and those who do not , '' the Indianapolis research organization said in a new report .
1	||1	||to	||0	||0	||considered running them during tomorrow night 's World Series broadcast but decided not to when the market recovered yesterday	||PaineWebber Inc. filmed a new television commercial at 4 p.m. EDT yesterday and had it on the air by last night . Fidelity Investments placed new ads in newspapers yesterday , and wrote another new ad appearing today . Shearson Lehman Hutton Inc. by yesterday afternoon had already written new TV ads . It considered running them during tomorrow night 's World Series broadcast but decided not to when the market recovered yesterday . Other brokerage firms , including Merrill Lynch & Co. , were plotting out potential new ad strategies .
1	||1	||do	||1	||1	||speak with strong accents 	||In `` Chicken Soup , '' Mr. Mason plays Jackie , a Jewish bachelor courting Maddie ( Lynn Redgrave ) , an Irish widow and mother of three , against the wishes of his mother ( Rita Karin ) and her brother Michael ( Brandon Maggart ) . It 's worth noting that both disapproving relatives are immigrants . At least , they both speak with strong accents , as do Jackie and Maddie . It could n't be more obvious that `` Chicken Soup '' is being made from an old recipe . And a safe one -- imagine if the romance in question were between an Orthodox Jew and a member of the Nation of Islam .
0	||1	||are	||1	||1	||speak with strong accents 	||In `` Chicken Soup , '' Mr. Mason plays Jackie , a Jewish bachelor courting Maddie ( Lynn Redgrave ) , an Irish widow and mother of three , against the wishes of his mother ( Rita Karin ) and her brother Michael ( Brandon Maggart ) . It 's worth noting that both disapproving relatives are immigrants . At least , they both speak with strong accents , as do Jackie and Maddie . It could n't be more obvious that `` Chicken Soup '' is being made from an old recipe . And a safe one -- imagine if the romance in question were between an Orthodox Jew and a member of the Nation of Islam .
1	||1	||can	||1	||1	||modify the immune response of an infected individual 	||`` The conventional wisdom used to be that you could n't modify the immune response of an infected individual '' by innoculating them with synthetic viral proteins , Dr. Redfield said . `` We 've demonstrated that you can . ''
1	||1	||can	||0	||0	||get slightly higher yields on deposits below $ 50,000 than they can on deposits of $ 90,000 and up	||Yields on small-denomination certificates of deposit fell at about half the rate of so-called jumbo CDs this week , according to Banxquote Money Markets , an information service based here . Investors can get slightly higher yields on deposits below $ 50,000 than they can on deposits of $ 90,000 and up .
1	||1	||to	||0	||0	||could cancel or rescind them whenever it wants to	||When the fiscal year began on Oct. 1 , the Office of Management and Budget began withholding 4.3 % of the Pentagon 's money and 5.3 % of other agencies ' money , as the Gramm-Rudman law requires . Those cuts , known as a `` sequester '' in budget jargon , became permanent yesterday , although Congress could cancel or rescind them whenever it wants to . Under a special provision of the law , the government yesterday began slicing 2 % from Medicare payments made to doctors and hospitals .
